score,coverage,variants_used,variants_total,variants_flipped,variants_ambiguous,trait,trait_efo
PGS000066,1.0,101,101,0,0,Triglycerides (TG),EFO_0004530
PGS000067,0.8703703703703703,47,54,0,0,Prostate cancer,EFO_0001663
PGS000068,0.8666666666666667,13,15,0,0,Epithelial ovarian cancer,EFO_0001075
PGS000069,0.8666666666666667,13,15,0,0,Serous epithelial ovarian cancer,EFO_1001516
PGS000070,1.0,19,19,0,0,Lung cancer,EFO_0000571
PGS000071,0.9333333333333333,14,15,0,0,Bladder cancer,MONDO_0004986
PGS000072,0.9411764705882353,176,187,0,0,Breast cancer,EFO_0000305
PGS000073,0.9,9,10,0,0,Cervical cancer,EFO_0001061
PGS000074,0.9805825242718447,101,103,0,0,Colorectal cancer,EFO_0005842
PGS000075,1.0,9,9,0,0,Endometrial cancer,EFO_1001512
PGS000076,0.8421052631578947,16,19,0,0,Kidney cancer,EFO_0000681
PGS000077,0.92,69,75,0,0,Lymphocytic leukemia,EFO_0004289
PGS000078,0.9908256880733946,108,109,0,0,Lung cancer,EFO_0001071
PGS000079,0.9166666666666666,22,24,0,0,Melanoma,EFO_0000756
PGS000080,0.9473684210526315,18,19,0,0,Non-Hodgkin's lymphoma,EFO_0005952
PGS000081,0.7142857142857143,10,14,0,0,Oral cavity and pharyngeal cancers,EFO_0005570
PGS000082,0.9722222222222222,35,36,0,0,Ovarian cancer,EFO_0001075
PGS000083,1.0,22,22,0,0,Pancreatic cancer,EFO_0002618
PGS000084,0.9440993788819876,152,161,0,0,Prostate cancer,EFO_0001663
PGS000086,0.9615384615384616,50,52,0,0,Testicular cancer,EFO_0005088
PGS000087,0.9166666666666666,11,12,0,0,Thyroid cancer,EFO_0002892
PGS000088,0.9889266527793005,9020,9121,0,0,Basophil count,EFO_0005090
PGS000089,0.991234756097561,5202,5248,0,0,Basophil percentage of white cells,EFO_0007992
PGS000090,0.9897599023922611,22714,22949,0,0,Eosinophil count,EFO_0004842
PGS000091,0.9910677702204376,24188,24406,0,0,Eosinophil percentage of white cells,EFO_0007991
PGS000092,0.9903239526476217,27941,28214,0,0,Hematocrit,EFO_0004348
PGS000093,0.9888401753686727,24810,25090,0,0,Hemoglobin concentration,EFO_0004509
PGS000094,0.9881928372494411,25192,25493,0,0,High light scatter reticulocyte count,EFO_0007986
PGS000095,0.9888418272077242,21712,21957,0,0,High light scatter reticulocyte percentage of red cells,EFO_0007986
PGS000096,0.9888515406162465,17651,17850,0,0,Immature fraction of reticulocytes,EFO_0007986
PGS000097,0.989734642538343,24393,24646,0,0,Lymphocyte count,EFO_0004587
PGS000098,0.9889549702633815,22116,22363,0,0,Lymphocyte percentage of white cells,EFO_0007993
PGS000099,0.9901776153022415,26815,27081,0,0,Mean corpuscular hemoglobin,EFO_0004527
PGS000100,0.9885057471264368,11696,11832,0,0,Mean corpuscular hemoglobin concentration,EFO_0004528
PGS000101,0.9894004239830407,24736,25001,0,0,Mean corpuscular volume,EFO_0004526
PGS000102,0.9889567502308074,27851,28162,0,0,Monocyte count,EFO_0005091
PGS000103,0.9900188241474412,22615,22843,0,0,Monocyte percentage of white cells,EFO_0007989
PGS000104,0.9886968343367645,25454,25745,0,0,Mean platelet volume,EFO_0004584
PGS000105,0.9897334897753939,23619,23864,0,0,Neutrophil count,EFO_0004833
PGS000106,0.9901129302916232,21831,22049,0,0,Neutrophil percentage of white cells,EFO_0007990
PGS000107,0.9891329327949047,30128,30459,0,0,Plateletcrit,EFO_0007985
PGS000108,0.9899211386805155,25733,25995,0,0,Platelet distribution width,EFO_0007984
PGS000109,0.9891691339054829,26394,26683,0,0,Platelet count,EFO_0004309
PGS000110,0.988684278461406,22979,23242,0,0,Red blood cell count,EFO_0004305
PGS000111,0.9898377880891207,25812,26077,0,0,Reticulocyte count,EFO_0007986
PGS000112,0.9895138594394541,25667,25939,0,0,Reticulocyte fraction of red cells,EFO_0007986
PGS000113,0.9896769192826692,28090,28383,0,0,White blood cell count,EFO_0004308
PGS000114,0.9230769230769231,24,26,0,0,Juvenile Idiopathic Arthritis,EFO_0002609
PGS000115,0.9910313901345291,221,223,0,0,low density lipoprotein cholesterol,EFO_0004611
PGS000116,0.999026921829387,40040,40079,0,0,Coronary Artery Disease ,EFO_0001645
PGS000117,0.998586593791756,297441,297862,0,0,Cardiovascular Disease ,EFO_0000319
PGS000118,0.7241379310344828,21,29,0,0,Melanoma,EFO_0000756
PGS000119,0.78125,25,32,0,0,Basal cell carcinoma,EFO_0004193
PGS000120,0.8,8,10,0,0,Squamous cell carcinoma,EFO_0000707
PGS000123,1.0,16,16,0,0,Parkinson disease,MONDO_0005180
PGS000124,1.0,103,103,0,0,Intraocular pressure ,EFO_0004695
PGS000125,1.0,80,80,0,0,Type 2 Diabetes,MONDO_0005148
PGS000126,1.0,114,114,0,0,Serum urate,EFO_0004531
PGS000133,1.0,604645,604645,0,0,Schizophrenia,MONDO_0005090
PGS000134,1.0,830589,830589,0,0,Schizophrenia,MONDO_0005090
PGS000135,1.0,972439,972439,0,0,Schizophrenia,MONDO_0005090
PGS000136,1.0,833502,833502,0,0,Schizophrenia,MONDO_0005090
PGS000137,0.9958847736625515,2662,2673,0,0,Glaucoma,MONDO_0005041
PGS000138,0.9998204184250696,22270,22274,0,0,Lifetime Major Depressive Disorder,MONDO_0002009
PGS000139,0.999909008189263,21978,21980,0,0,Lifetime Major Depressive Disorder (with recurrence),MONDO_0002009
PGS000140,0.9999594567200486,24664,24665,0,0,Broad Depression (seen a General Practitioner for nerves  anxiety  tension or depression),EFO_0009820
PGS000141,0.9999120028159099,22726,22728,0,0,Seen a psychiatrist for nerves  anxiety  tension or depression,EFO_0009821
PGS000142,0.9998630637210152,21905,21908,0,0,Probable Depression (low mood or anhedonia  and seen a GP or psychiatrist for nerves  anxiety  tension or depression),EFO_0009820
PGS000143,1.0,21042,21042,0,0,Seen a General Practitioner for nerves  anxiety  tension or depression (without report of low mood or anhedonia),EFO_0009820
PGS000144,0.9996793109767271,21821,21828,0,0,Self-reported depression or depression symptoms,EFO_0009799
PGS000145,0.999767549976755,21505,21510,0,0,Depression (ICD-10 defined),MONDO_0002009
PGS000146,1.0,27,27,0,0,Colorectal cancer risk,EFO_0005842
PGS000147,0.7619047619047619,16,21,0,0,Colorectal cancer,EFO_0005842
PGS000148,0.9682539682539683,61,63,0,0,Colorectal cancer,EFO_0005842
PGS000149,0.7804878048780488,32,41,0,0,Colorectal cancer,EFO_0005842
PGS000150,0.9375,45,48,0,0,Colorectal cancer,EFO_0005842
PGS000151,1.0,14,14,0,0,Colorectal cancer,EFO_0005842
PGS000152,0.9,9,10,0,0,Bladder cancer,MONDO_0004986
PGS000153,0.7424242424242424,49,66,0,0,Breast cancer,EFO_0000305
PGS000154,0.8333333333333334,25,30,0,0,Colorectal cancer,EFO_0005842
PGS000155,0.7894736842105263,15,19,0,0,Glioma,EFO_0005543
PGS000156,1.0,6,6,0,0,Lung cancer,EFO_0001071
PGS000157,0.7647058823529411,13,17,0,0,Melanoma,EFO_0000756
PGS000158,0.9,9,10,0,0,Ovarian cancer,EFO_0001075
PGS000159,0.6666666666666666,6,9,0,0,Pancreatic cancer,EFO_0002618
PGS000160,0.7848101265822784,62,79,0,0,Prostate cancer,EFO_0001663
PGS000161,0.7,7,10,0,0,Renal cancer,EFO_0002890
PGS000162,0.6666666666666666,4,6,0,0,Thyroid cancer,EFO_0002892
PGS000163,0.9675675675675676,179,185,0,0,Basophil count,EFO_0005090
PGS000164,0.9666666666666667,145,150,0,0,Basophil percentage of white cells,EFO_0007992
PGS000165,0.9686985172981878,588,607,0,0,Eosinophil count,EFO_0004842
PGS000166,0.968476357267951,553,571,0,0,Eosinophil percentage of white cells,EFO_0007991
PGS000167,0.9601593625498008,482,502,0,0,Hematocrit,EFO_0004348
PGS000168,0.9572815533980582,493,515,0,0,Hemoglobin concentration,EFO_0004509
PGS000169,0.9631578947368421,549,570,0,0,High light scatter reticulocyte count,EFO_0007986
PGS000170,0.9646643109540636,546,566,0,0,High light scatter reticulocyte percentage of red cells,EFO_0007986
PGS000171,0.967741935483871,360,372,0,0,Immature fraction of reticulocytes,EFO_0007986
PGS000172,0.9806763285024155,609,621,0,0,Lymphocyte count,EFO_0004587
PGS000173,0.961864406779661,454,472,0,0,Lymphocyte percentage of white cells,EFO_0007993
PGS000174,0.9617834394904459,604,628,0,0,Mean corpuscular hemoglobin,EFO_0004527
PGS000175,0.96875,217,224,0,0,Mean corpuscular hemoglobin concentration,EFO_0004528
PGS000176,0.9678832116788321,663,685,0,0,Mean corpuscular volume,EFO_0004526
PGS000177,0.9749216300940439,622,638,0,0,Monocyte count,EFO_0005091
PGS000178,0.9726775956284153,534,549,0,0,Monocyte percentage of white cells,EFO_0007989
PGS000179,0.9510703363914373,622,654,0,0,Mean platelet volume,EFO_0004584
PGS000180,0.9650238473767886,607,629,0,0,Mean reticulocyte volume,EFO_0010701
PGS000181,0.9684625492772667,737,761,0,0,Mean sphered corpuscular volume,EFO_0004526
PGS000182,0.9654471544715447,475,492,0,0,Neutrophil count,EFO_0004833
PGS000183,0.9679633867276888,423,437,0,0,Neutrophil percentage of white cells,EFO_0007990
PGS000184,0.9742857142857143,682,700,0,0,Plateletcrit,EFO_0007985
PGS000185,0.9711711711711711,539,555,0,0,Platelet distribution width,EFO_0007984
PGS000186,0.9607577807848444,710,739,0,0,Platelet count,EFO_0004309
PGS000187,0.967551622418879,656,678,0,0,Red blood cell count,EFO_0004305
PGS000188,0.9725274725274725,531,546,0,0,Red cell distribution width,EFO_0005192
PGS000189,0.9675675675675676,537,555,0,0,Reticulocyte count,EFO_0007986
PGS000190,0.9664804469273743,519,537,0,0,Reticulocyte fraction of red cells,EFO_0007986
PGS000191,0.970125786163522,617,636,0,0,White blood cell count,EFO_0004308
PGS000193,0.9964850615114236,1134,1138,0,0,Major depression,MONDO_0002009
PGS000194,0.792,198,250,0,0,Rheumatoid Arthritis (CCP-positive),EFO_0009459
PGS000195,0.792,198,250,0,0,Rheumatoid Arthritis (CCP-negative),EFO_0009460
PGS000196,0.792,198,250,0,0,Systemic lupus eythematosus,MONDO_0007915
PGS000197,0.792,198,250,0,0,Spondyloarthroparthy,EFO_0000706
PGS000198,0.792,198,250,0,0,Psoriatic arthritis,EFO_0003778
PGS000199,0.792,198,250,0,0,Gout,EFO_0004274
PGS000200,0.8571428571428571,24,28,0,0,Coronary heart disease,EFO_0001645
PGS000201,1.0,1094954,1094954,0,0,Problematic Alcohol Use,EFO_0007835
PGS000202,1.0,1083002,1083002,0,0,Problematic Alcohol Use,EFO_0007835
PGS000203,1.0,1110910,1110910,0,0,Alcohol consumption (drinks per week),EFO_0007878
PGS000204,1.0,1099480,1099480,0,0,Alcohol consumption (drinks per week),EFO_0007878
PGS000205,1.0,1110737,1110737,0,0,Risk-taking tendency (4-domain principal component model),EFO_0008579
PGS000206,1.0,1098765,1098765,0,0,Risk-taking tendency (4-domain principal component model),EFO_0008579
PGS000207,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000208,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000209,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000210,0.992831541218638,277,279,0,0,Lung function (FEV1/FVC),EFO_0004713
PGS000211,0.7894736842105263,15,19,0,0,Parkinson's disease,MONDO_0005180
PGS000212,1.0,330,330,0,0,Breast cancer intrinsic-like subtype (luminal A-like),MONDO_0021116
PGS000213,1.0,330,330,0,0,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),EFO_0009780
PGS000214,1.0,330,330,0,0,Breast cancer intrinsic-like subtype (luminal B-like),MONDO_0021115
PGS000215,1.0,330,330,0,0,Breast cancer intrinsic-like subtype (HER2-enriched-like),EFO_1000294
PGS000216,1.0,330,330,0,0,Breast cancer intrinsic-like subtype (triple negative),EFO_0005537
PGS000217,0.7562009510116722,417615,552254,0,0,Adrenomedullin (ADM) serum levels,EFO_0007937
PGS000218,0.7562454606870596,417539,552121,0,0,Agouti-related protein (AGRP) serum levels,EFO_0007937
PGS000219,0.7568664130338613,419167,553819,0,0,Ovarian cancer-related tumor marker CA 125 (CA-125) serum levels,EFO_0007937
PGS000220,0.7563085496268948,417474,551989,0,0,C-C motif chemokine 20 (CCL20) serum levels,EFO_0007937
PGS000221,0.756312607835292,417747,552347,0,0,C-C motif chemokine 3 (CCL3) serum levels,EFO_0007937
PGS000222,0.7558374108588337,417384,552214,0,0,C-C motif chemokine 4 (CCL4) serum levels,EFO_0007937
PGS000223,0.756312625976345,417626,552187,0,0,Tumor necrosis factor receptor superfamily member 5 (CD40) serum levels,EFO_0007937
PGS000224,0.7568401719959573,417856,552106,0,0,Chitinase-3-like protein 1 (CHI3L1) serum levels,EFO_0007937
PGS000225,0.7560376193261772,417456,552163,0,0,Macrophage colony-stimulating factor 1 (CSF-1) serum levels,EFO_0007937
PGS000226,0.7558887711768487,417398,552195,0,0,Cystatin-B (CSTB) serum levels,EFO_0007937
PGS000227,0.7561425306175674,417492,552134,0,0,Cathepsin D (CTSD) serum levels,EFO_0007937
PGS000228,0.7561621057665138,417465,552084,0,0,Cathepsin L1 (CTSL1) serum levels,EFO_0007937
PGS000229,0.7562043478418321,417632,552274,0,0,Fractalkine (CX3CL1) serum levels,EFO_0007937
PGS000230,0.7565343676774701,417784,552234,0,0,C-X-C motif chemokine 1 (CXCL1) serum levels,EFO_0007937
PGS000231,0.7559471317776116,417465,552241,0,0,C-X-C motif chemokine 16 (CXCL16) serum levels,EFO_0007937
PGS000232,0.755536073006425,417102,552061,0,0,C-X-C motif chemokine 6 (CXCL6) serum levels,EFO_0007937
PGS000233,0.7565766473996816,417681,552067,0,0,Dickkopf-related protein 1 (Dkk-1) serum levels,EFO_0007937
PGS000234,0.7569044889575189,418603,553046,0,0,Eosinophil cationic protein (ECP) serum levels,EFO_0007937
PGS000235,0.75689986495843,418689,553163,0,0,Epidermal growth factor (EGF) serum levels,EFO_0007937
PGS000236,0.7559937820837249,418246,553240,0,0,Endothelial cell-specific molecule 1 (ESM-1) serum levels,EFO_0007937
PGS000237,0.756615001910045,417911,552343,0,0,Fatty acid-binding protein  adipocyte (FABP4) serum levels,EFO_0007937
PGS000238,0.7563887857912318,417780,552335,0,0,Tumor necrosis factor receptor superfamily member 6 (FAS) serum levels,EFO_0007937
PGS000239,0.7564607860894765,417642,552100,0,0,Fibroblast growth factor 23 (FGF-23) serum levels,EFO_0007937
PGS000240,0.7560138950769554,417424,552138,0,0,Follistatin (FS) serum levels,EFO_0007937
PGS000241,0.7568720327776453,418965,553548,0,0,Galanin peptides (GAL) serum levels,EFO_0007937
PGS000242,0.7565826878297681,417847,552282,0,0,Galectin-3 (Gal-3) serum levels,EFO_0007937
PGS000243,0.7557512476730626,417347,552228,0,0,Growth/differentiation factor 15 (GDF-15) serum levels,EFO_0007937
PGS000244,0.7566239796029234,417835,552236,0,0,Growth hormone (GH) serum levels,EFO_0007937
PGS000245,0.7568809001137459,417880,552108,0,0,Proheparin-binding EGF-like growth factor (HB-EGF) serum levels,EFO_0007937
PGS000246,0.7560948661846318,417443,552104,0,0,Hepatocyte growth factor (HGF) serum levels,EFO_0007937
PGS000247,0.7562554339083108,418390,553239,0,0,Kallikrein-11 (hK11) serum levels,EFO_0007937
PGS000248,0.7562638986476209,417618,552212,0,0,Heat shock 27 kDa protein (HSP_27) serum levels,EFO_0007937
PGS000249,0.7563031297425143,417620,552186,0,0,Interleukin-18 (IL-18) serum levels,EFO_0007937
PGS000250,0.7564253320698583,417484,551917,0,0,Interleukin-1 receptor antagonist protein (IL-1ra) serum levels,EFO_0007937
PGS000251,0.7562705379819067,417481,552026,0,0,Interleukin-27 (IL-27) serum levels,EFO_0007937
PGS000252,0.7561248022359556,417703,552426,0,0,Interleukin-6 (IL-6) serum levels,EFO_0007937
PGS000253,0.7561018017430614,417468,552132,0,0,Interleukin-6 receptor subunit alpha (IL-6RA) serum levels,EFO_0007937
PGS000254,0.7561694958241997,417398,551990,0,0,Interleukin-8 (IL-8) serum levels,EFO_0007937
PGS000255,0.7564162034050634,417454,551884,0,0,Pro-interleukin-16 (IL16) serum levels,EFO_0007937
PGS000256,0.7552093232903047,417195,552423,0,0,Melusin (ITGB1BP2) serum levels,EFO_0007937
PGS000257,0.7561686911977278,417452,552062,0,0,Kidney injury molecule 1 (KIM-1) serum levels,EFO_0007937
PGS000258,0.7560777678954738,417395,552053,0,0,Kallikrein-6 (KLK6) serum levels,EFO_0007937
PGS000259,0.7561844559960877,417497,552110,0,0,Leptin (LEP) serum levels,EFO_0007937
PGS000260,0.7559021456584155,417292,552045,0,0,Lectin-like oxidized LDL receptor 1 (LOX-1) serum levels,EFO_0007937
PGS000261,0.7569909776339342,418669,553070,0,0,Membrane-bound aminopeptidase P (mAmP) serum levels,EFO_0007937
PGS000262,0.7558057196049774,417334,552171,0,0,Myoglobin (MB) serum levels,EFO_0007937
PGS000263,0.7553967391304348,416979,552000,0,0,Monocyte chemotactic protein 1 (MCP-1) serum levels,EFO_0007937
PGS000264,0.7559969281817589,417398,552116,0,0,Matrix metalloproteinase-1 (MMP-1) serum levels,EFO_0007937
PGS000265,0.7560952194641278,417419,552072,0,0,Matrix metalloproteinase-10 (MMP-10) serum levels,EFO_0007937
PGS000266,0.7562248537646212,417452,552021,0,0,Matrix metalloproteinase-12 (MMP-12) serum levels,EFO_0007937
PGS000267,0.7555908807809852,417334,552328,0,0,Matrix metalloproteinase-3 (MMP-3) serum levels,EFO_0007937
PGS000268,0.7563273025004891,417532,552052,0,0,Matrix metalloproteinase-7 (MMP-7) serum levels,EFO_0007937
PGS000269,0.7562586233744599,417665,552278,0,0,Myeloperoxidase (MPO) serum levels,EFO_0007937
PGS000270,0.7561686009055523,419021,554137,0,0,N-terminal prohormone brain natriuretic peptide (NT-pro_BNP) serum levels,EFO_0007937
PGS000271,0.756023578200125,417480,552205,0,0,Osteoprotegerin (OPG) serum levels,EFO_0007937
PGS000272,0.7562004569996632,417648,552298,0,0,Pappalysin-1 (PAPPA) serum levels,EFO_0007937
PGS000273,0.7567502471921507,417879,552202,0,0,Proteinase-activated receptor 1 (PAR-1) serum levels,EFO_0007937
PGS000274,0.7564339583352195,417752,552265,0,0,Platelet-derived growth factor subunit B (PDGF_subunit_B) serum levels,EFO_0007937
PGS000275,0.756406586837195,417544,552010,0,0,Platelet endothelial cell adhesion molecule (PECAM-1) serum levels,EFO_0007937
PGS000276,0.7561848716671948,417622,552275,0,0,Placenta growth factor (PlGF) serum levels,EFO_0007937
PGS000277,0.7562069308992783,417551,552165,0,0,P-selectin glycoprotein ligand 1 (PSGL-1) serum levels,EFO_0007937
PGS000278,0.7558581942317647,417592,552474,0,0,Pentraxin-related protein PTX3 (PTX3) serum levels,EFO_0007937
PGS000279,0.7560501758108847,417565,552298,0,0,Receptor for advanced glycosylation end products (RAGE) serum levels,EFO_0007937
PGS000280,0.756329721524857,417553,552078,0,0,Renin (REN) serum levels,EFO_0007937
PGS000281,0.7555497987326133,417065,552002,0,0,Resistin (RETN) serum levels,EFO_0007937
PGS000282,0.7556243437963868,417422,552420,0,0,Stem cell factor (SCF) serum levels,EFO_0007937
PGS000283,0.7558670750837249,417770,552703,0,0,Spondin-1 (SPON1) serum levels,EFO_0007937
PGS000284,0.7562399684061405,417449,552006,0,0,ST2 protein (ST2) serum levels,EFO_0007937
PGS000285,0.756330718471356,417667,552228,0,0,Tissue factor (TF) serum levels,EFO_0007937
PGS000286,0.7563636166094151,417695,552241,0,0,Thrombomodulin (TM) serum levels,EFO_0007937
PGS000287,0.755790605757201,417436,552317,0,0,Tumor necrosis factor receptor 1 (TNF-R1) serum levels,EFO_0007937
PGS000288,0.7558915943026341,417392,552185,0,0,Tumor necrosis factor receptor 2 (TNF-R2) serum levels,EFO_0007937
PGS000289,0.7563762571370606,417556,552048,0,0,Tumor necrosis factor ligand superfamily member 14 (TNFSF14) serum levels,EFO_0007937
PGS000290,0.7567533800850657,417939,552279,0,0,TNF-related apoptosis-inducing ligand (TRAIL) serum levels,EFO_0007937
PGS000291,0.7566054205194513,417796,552198,0,0,TNF-related apoptosis-inducing ligand receptor 2 (TRAIL-R2) serum levels,EFO_0007937
PGS000292,0.7563078483580575,417550,552090,0,0,TNF-related activation-induced cytokine (TRANCE) serum levels,EFO_0007937
PGS000293,0.7564704518447671,417608,552048,0,0,Urokinase plasminogen activator surface receptor (U-PAR) serum levels,EFO_0007937
PGS000294,0.7562772836777945,417518,552070,0,0,Vascular endothelial growth factor A (VEGF-A) serum levels,EFO_0007937
PGS000295,0.755869216622426,417168,551905,0,0,Vascular endothelial growth factor D (VEGF-D) serum levels,EFO_0007937
PGS000296,1.0,6630150,6630150,0,0,Coronary artery disease,EFO_0001645
PGS000297,0.9972644376899696,3281,3290,0,0,Height,EFO_0004339
PGS000298,0.997874601487779,939,941,0,0,Body mass index ,EFO_0004340
PGS000299,0.9891774891774892,457,462,0,0,Waist-to-hip ratio (body mass index adjusted),EFO_0007788
PGS000300,1.0,80,80,0,0,Heart rate,EFO_0004351
PGS000301,0.9948453608247423,965,970,0,0,Systolic blood pressure,EFO_0006335
PGS000302,0.9948024948024948,957,962,0,0,Diastolic blood pressure,EFO_0006336
PGS000303,1.0,253,253,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000304,1.0,43,43,0,0,HbA1c,EFO_0004541
PGS000305,1.0,31,31,0,0,Fasting glucose,EFO_0004465
PGS000306,1.0,19,19,0,0,Fasting glucose (body mass index adjusted),EFO_0008036
PGS000307,1.0,12,12,0,0,Fasting insulin,EFO_0004466
PGS000308,1.0,12,12,0,0,Fasting insulin (body mass index adjusted),EFO_0008037
PGS000309,0.9554655870445344,236,247,0,0,High-density lipoprotein,EFO_0004612
PGS000310,0.979381443298969,190,194,0,0,Low-density lipoprotein ,EFO_0004611
PGS000311,0.9914529914529915,232,234,0,0,Total cholesterol,EFO_0004574
PGS000312,0.9789473684210527,186,190,0,0,Triglycerides,EFO_0004530
PGS000313,1.0,49,49,0,0,Lipoprotein(a),EFO_0006925
PGS000314,1.0,77,77,0,0,C-reactive protein,EFO_0004458
PGS000315,1.0,7,7,0,0,Immunoglobulin E (IgE),EFO_0004579
PGS000318,0.9267345948568656,3820,4122,0,0,All-cause mortality (female),EFO_0005056
PGS000319,0.9266862170087976,3792,4092,0,0,All-cause mortality (male),EFO_0005056
PGS000320,0.787270520406615,207556,263640,0,0,Body mass index,EFO_0004340
PGS000321,0.9490367536548708,6946,7319,0,0,Serum testosterone levels,EFO_0004908
PGS000322,0.9711216517857143,6961,7168,0,0,Serum testosterone levels in females,EFO_0004908
PGS000323,0.9129326047358834,7518,8235,0,0,Serum testosterone levels in males,EFO_0004908
PGS000324,0.9492753623188406,131,138,0,0,Enthesitis-related Juvenile Idiophatic Arthritis,EFO_0009732
PGS000325,0.8571428571428571,18,21,0,0,Oligoarthritis Juvenile Idiophatic Arthritis,EFO_1002019
PGS000326,0.9166666666666666,11,12,0,0,Rheumatoid-factor-negative Polyarthritis (Juvenile Idiophatic Arthritis),EFO_1002020
