Polygenic Score (PGS) ID,PGS Name,Reported Trait,Mapped Trait(s) (EFO label),Mapped Trait(s) (EFO ID),PGS Development Method,PGS Development Details/Relevant Parameters,Original Genome Build,Number of Variants,Number of Interaction Terms,Type of Variant Weight,PGS Publication (PGP) ID,Publication (PMID),Publication (doi),Score and results match the original publication,Ancestry Distribution (%) - Source of Variant Associations (GWAS),Ancestry Distribution (%) - Score Development/Training,Ancestry Distribution (%) - PGS Evaluation,FTP link,Release Date,License/Terms of Use
PGS000011,GRS50,Coronary artery disease,coronary artery disease,EFO_0001645,Genome-wide significant variants,Also includes the SNPs from GRS 27 (Mega et al.; PMID:25748612),NR,50,0,log(OR),PGP000004,26392438,10.1093/eurheartj/ehv462,True,Multi-ancestry (including European):53.3|European:40.3|South Asian:6.4,,European:58.3|African:16.7|Hispanic or Latin American:16.7|Multi-ancestry (including European):8.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000011/ScoringFiles/PGS000011.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000012,GRS49K,Coronary artery disease,coronary artery disease,EFO_0001645,LD thinning,r2 threshold = 0.7,hg19,49310,0,NR,PGP000005,27655226,10.1093/eurheartj/ehw450,True,Multi-ancestry (including European):100,European:100,European:75|Multi-ancestry (including European):25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000012/ScoringFiles/PGS000012.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000013,GPS_CAD,Coronary artery disease,coronary artery disease,EFO_0001645,LDpred,ρ = 0.001; LD panel = 503 1000G Europeans,hg19,6630150,0,NR,PGP000006,30104762,10.1038/s41588-018-0183-z,True,European:75.3|South Asian:13.6|East Asian:6|Hispanic or Latin American:2.2|African:1.7|Greater Middle Eastern:1.2,European:100,European:47.3|Multi-ancestry (including European):16.4|African:10.9|Hispanic or Latin American:10.9|South Asian:7.3|Not Reported:3.6|Additional Asian Ancestries:1.8|East Asian:1.8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000013/ScoringFiles/PGS000013.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000014,GPS_T2D,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,LDpred,ρ = 0.01; LD panel = 503 1000G Europeans,hg19,6917436,0,NR,PGP000006,30104762,10.1038/s41588-018-0183-z,True,European:100,European:100,European:66.7|Multi-ancestry (including European):33.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000014/ScoringFiles/PGS000014.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000015,GPS_BC,Breast cancer,breast carcinoma,EFO_0000305,Pruning and Thresholding (P+T),r2 < 0.2; P < 5e−4; LD panel = 503 100G Europeans,hg19,5218,0,NR,PGP000006,30104762,10.1038/s41588-018-0183-z,True,European:100,European:100,European:50|African:25|Hispanic or Latin American:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000015/ScoringFiles/PGS000015.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000016,GPS_AF,Atrial fibrillation,atrial fibrillation,EFO_0000275,LDpred,ρ = 0.003; LD panel = 503 1000G Europeans,hg19,6730541,0,NR,PGP000006,30104762,10.1038/s41588-018-0183-z,True,European:89.9|African:4.4|East Asian:3.1|Hispanic or Latin American:2.5,European:100,European:50|Not Reported:16.7|Multi-ancestry (including European):16.7|Multi-ancestry (excluding European):16.7,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000016/ScoringFiles/PGS000016.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000017,GPS_IBD,Inflammatory bowel disease,inflammatory bowel disease,EFO_0003767,LDpred,ρ = 0.1; LD panel = 503 1000G Europeans,hg19,6907112,0,NR,PGP000006,30104762,10.1038/s41588-018-0183-z,True,European:100,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000017/ScoringFiles/PGS000017.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000018,metaGRS_CAD,Coronary artery disease,coronary artery disease,EFO_0001645,metaGRS,"metaGRS log(HR) mixing weights: GRS46K=0.1278, FDR202=0.2359 and 1000Genomes=0.2400",hg19,1745179,0,NR,PGP000007,30309464,10.1016/j.jacc.2018.07.079,True,Multi-ancestry (including European):50.9|European:37|South Asian:6.7|East Asian:3|Hispanic or Latin American:1.1|African:0.8|Greater Middle Eastern:0.6,Multi-ancestry (including European):100,European:67.9|African:10.7|Hispanic or Latin American:10.7|Multi-ancestry (including European):7.1|Greater Middle Eastern:3.6,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000018/ScoringFiles/PGS000018.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000019,GRS_CAD,Coronary artery disease,coronary artery disease,EFO_0001645,Genome-wide significant variants,"FDR < 5%, r2 < 0.20",NR,192,0,NR,PGP000009,28456682,10.1016/j.jacl.2017.03.019,True,European:75.3|South Asian:13.6|East Asian:6|Hispanic or Latin American:2.2|African:1.7|Greater Middle Eastern:1.2,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000019/ScoringFiles/PGS000019.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000020,dGRS1000,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Pruning and Thresholding (P+T),"P < 0.05, r2 < 0.05, betas are weighted by the probability that they are in the top 1000 signals",NCBI36,7502,0,NR,PGP000010,27513194,10.1038/gim.2016.103,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000020/ScoringFiles/PGS000020.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000021,GRS1,Type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,SNP associations curated from the literature,HLA Haplotypes called with SNP2HLA using the T1DGC reference panel,NR,30,0,NR,PGP000011,26577414,10.2337/dc15-1111,True,European:100,European:100,European:75|African:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000021/ScoringFiles/PGS000021.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000022,T1D_GRS,Type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,Genome-wide significant variants,Literature curated SNPs and HLA haplotypes. Based off of Oram et al. (2016; PMID:26577414) & Patel et al. (2016; PMID:27207547),NR,37,0,NR,PGP000012,29540798,10.1038/s41598-018-22574-5,True,,,African:33.3|Hispanic or Latin American:33.3|European:33.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000022/ScoringFiles/PGS000022.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000023,AA_GRS,Type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,Genome-wide significant variants,,NR,7,0,NR,PGP000013,30659077,10.2337/dc18-1727,True,African:100,,African:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000023/ScoringFiles/PGS000023.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000024,GRS2,Type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,Genome-wide significant associations and interaction modelling,Significance threshold for interactions: p < 10^-4,NR,67,18,log(OR),PGP000014,30655379,10.2337/dc18-1785,True,European:100,,European:63.6|Not Reported:18.2|African:9.1|Hispanic or Latin American:9.1,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000024/ScoringFiles/PGS000024.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000025,GRS,Alzheimer's Disease,Alzheimer disease,MONDO_0004975,log-OR weighted sum of risk allele dosages,"Top SNP in each locus (+- 500kb around top SNP) reaching genome-wide significance, excluding APOE. Recoded the odds ratios (OR) from the IGAP meta-analysis so they would all indicate an increased risk of AD and used the log(OR)and corresponding alleles to compute a weighted sum of risk allele dosages. applied an additional transformation so that one unit of the GRS would be interpreted as one additional risk allele.",GRCh37,19,0,NR,PGP000015,27340842,10.3233/JAD-150749,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000025/ScoringFiles/PGS000025.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000026,PHS,Alzheimer’s Disease,Alzheimer disease,MONDO_0004975,Hazard model with stepwise selection of SNP inclusion,SNPs eligible for inclusion had a significane of p < 10−5,NR,31,0,NR,PGP000016,28323831,10.1371/journal.pmed.1002258,True,European:100,European:100,Not Reported:60|European:40,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000026/ScoringFiles/PGS000026.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000027,GPS_BMI,Body Mass Index,body mass index,EFO_0004340,LDpred,ρ = 0.03; LD reference panel = 503 European samples from 1000 Genomes phase 3,hg19,2100302,0,NR,PGP000017,31002795,10.1016/j.cell.2019.03.028,True,European:99.1|Hispanic or Latin American:0.5|African:0.4,European:100,European:68.8|African:12.5|Multi-ancestry (including European):12.5|Greater Middle Eastern:6.2,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000027/ScoringFiles/PGS000027.txt.gz,2019-10-14,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).
PGS000028,PRS,Breast cancer,breast carcinoma,EFO_0000305,composite likelihood ratio,"SNPs with p<5x10-8 in studies of invasive breast cancer in Caucasian, Asian, or Hispanic populations, or proxy SNP on  Illumina Oncoarray in strong LD (r2>0.9)",hg38,83,0,log(OR),PGP000018,27565998,10.1007/s10549-016-3953-2,True,European:80.7|East Asian:13.4|Hispanic or Latin American:3.3|African:2.6,,East Asian:33.3|European:33.3|Multi-ancestry (including European):33.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000028/ScoringFiles/PGS000028.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000029,PRS_AS,Breast cancer,breast carcinoma,EFO_0000305,composite likelihood ratio,"SNPs with p<5x10-8 in studies of invasive breast cancer in Asian populations, or proxy SNP on  Illumina Oncoarray in strong LD (r2>0.9)",hg38,76,0,log(OR),PGP000018,27565998,10.1007/s10549-016-3953-2,True,East Asian:100,,East Asian:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000029/ScoringFiles/PGS000029.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000030,PrCa,Prostate cancer,prostate carcinoma,EFO_0001663,Genome-wide significant variants,,NR,147,0,NR,PGP000019,29892016,10.1038/s41588-018-0142-8,True,European:100,,European:70|Not Reported:10|African:10|Multi-ancestry (including European):10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000030/ScoringFiles/PGS000030.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000031,GRSt,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Genome-wide significant variants,Index SNPs or their proxies,NCBI36,62,0,NR,PGP000020,24520119,10.2337/db13-1663,True,European:100,,European:66.7|African:33.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000031/ScoringFiles/PGS000031.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000032,GRSB,Type 2 diabetes (based on SNPs involved in β-cell function),type 2 diabetes mellitus,MONDO_0005148,Genome-wide significant variants,Index SNPs or their proxies (using T2D weights),NR,20,0,NR,PGP000020,24520119,10.2337/db13-1663,True,European:100,,European:50|Not Reported:25|African:25,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000032/ScoringFiles/PGS000032.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000033,GRSIR,Type 2 diabetes (based on SNPs involved in insulin resistance),type 2 diabetes mellitus,MONDO_0005148,Genome-wide significant variants,Index SNPs or their proxies (using T2D weights),NR,10,0,NR,PGP000020,24520119,10.2337/db13-1663,True,European:100,,European:66.7|African:33.3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000033/ScoringFiles/PGS000033.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000034,GRS_BMI,Adult Body Mass Index,body mass index,EFO_0004340,Genome-wide significant variants,The GRS is normalized by multiplying the weighted allele counts by the number of SNPs and their weights (97/sum( βi)),NR,97,0,NR,PGP000021,29212779,10.2337/db17-1156,True,European:99.1|Hispanic or Latin American:0.5|African:0.4,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000034/ScoringFiles/PGS000034.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000035,PRS_AF,Atrial fibrillation,atrial fibrillation,EFO_0000275,Pruning and Thresholding (P+T),P < 10^-4; r2 < 0.5,hg19,1168,0,NR,PGP000022,29129827,10.1161/CIRCULATIONAHA.117.031431,True,European:89.9|African:4.4|East Asian:3.1|Hispanic or Latin American:2.5,European:100,Multi-ancestry (including European):100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000035/ScoringFiles/PGS000035.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000036,gePS_T2D,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Pruning and Thresholding (P+T),P < 0.1; r2 < 0.6,GRCh37,171249,0,NR,PGP000023,30297969,10.1038/s41588-018-0241-6,True,Multi-ancestry (including European):100,European:100,European:40|Not Reported:20|African:20|Hispanic or Latin American:20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000036/ScoringFiles/PGS000036.txt.gz,2019-10-14,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000037,PGS_AST,Asthma,asthma,MONDO_0004979,Pruning and Thresholding (P+T),p < 5×10^-8 from meta-analysis in Moffatt 2010; R2 threshold 0.60,NR,15,0,NR,PGP000025,24429243,10.1016/S2213-2600(13)70101-2,True,Multi-ancestry (including European):100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000037/ScoringFiles/PGS000037.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000038,PRS90,Stroke,stroke,EFO_0000712,Clumping and Thresholding (C+T),P < 1×10−5; Independent SNPs were clumped based selected using the following thresholds: r2 < 0.05 or 1000 Kb apart using plink,NR,90,0,NR,PGP000026,30355576,10.1136/bmj.k4168,True,European:100,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000038/ScoringFiles/PGS000038.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000039,metaGRS_ischaemicstroke,Ischaemic stroke,stroke|Ischemic stroke,EFO_0000712|HP_0002140,metaGRS of 19 component PGSs,LD thinning of 19 component PGSs,hg19,3225583,0,NR,PGP000027,31862893,10.1038/s41467-019-13848-1,True,European:96.8|East Asian:1.3|South Asian:1|African:0.6|Hispanic or Latin American:0.2|Greater Middle Eastern:0.07|Additional Asian Ancestries:0.01,European:100,European:54.5|African:18.2|East Asian:18.2|Not Reported:9.1,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/PGS000039.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000040,GRS_CeD,Coeliac disease,celiac disease,EFO_0001060,SparSNP,"Lasso penalised linear SVM, 10-fold cross-validation",hg18,228,0,NR,PGP000028,24550740,10.1371/journal.pgen.1004137,True,,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000040/ScoringFiles/PGS000040.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000041,GRS-DQ2.5-CeD,Coeliac disease,celiac disease,EFO_0001060,SparSNP,"Lasso penalised linear SVM on SNPs, 10-fold cross-validation",hg18,2513,0,NR,PGP000029,26244058,10.1186/s13073-015-0196-5,True,,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000041/ScoringFiles/PGS000041.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000042,GRS-DQ2.5-CeD-imputed,Coeliac disease,celiac disease,EFO_0001060,SparSNP,"Lasso penalised linear SVM on SNPs & imputed HLA alleles (SNP2HLA), 10-fold cross-validation",hg18,3317,0,NR,PGP000029,26244058,10.1186/s13073-015-0196-5,True,,European:100,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000042/ScoringFiles/PGS000042.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000043,PRS_VTE,Venous thromboembolism,venous thromboembolism,EFO_0004286,Pruning + Clumping,P < 1×10^−5; R^2 > 0.2,GRCh37,297,0,NR,PGP000030,31676865,10.1038/s41588-019-0519-3,True,European:88.7|African:7.9|Hispanic or Latin American:3.4,,European:80|Multi-ancestry (including European):20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000043/ScoringFiles/PGS000043.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
PGS000044,PrCa66,Prostate cancer,prostate carcinoma,EFO_0001663,Known susceptibility loci (genome-wide significant SNPs),"P-value < 5E-8, top SNP",GRCh38,66,0,NR,PGP000031,26291059,10.1038/bjc.2015.289,True,European:95.2|East Asian:4.8,,European:100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000044/ScoringFiles/PGS000044.txt.gz,2019-12-18,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details."
