proband,Phenotype_1,Phenotype_2,Phenotype_3
Sample_44,0.963281318238887,1.38993199704498,1.67617582440247
Sample_45,0.614567993938278,1.30581751578188,1.6896286671924
Sample_46,0.47751105364668,0.690726664423584,1.20546169305946
Sample_47,0.688213738085019,0.895352017815827,1.74192271616322
Sample_48,0.705574921567117,1.36041897751444,1.54238580430488
Sample_49,0.377174475930968,0.534555009466123,1.34774719211667
Sample_50,0.267596300936644,0.660780365532866,1.1001412373507
Sample_51,0.384416527541852,1.33430225905014,2.07981307679177
Sample_52,0.704282969219608,1.38418390232562,2.30857457376512
Sample_53,0.454471167895243,1.36066111951876,2.09699303514515
Sample_54,0.576044303255314,0.840751074058762,1.57545151474126
Sample_55,0.53420754144482,1.07049828065118,1.2465355606452
Sample_56,0.683001845182856,1.6270169593154,1.75685498578524
Sample_57,0.884635037805399,1.80044798156186,2.40543464860913
Sample_58,0.593523046442055,1.01968603857608,1.39520403889715
Sample_59,0.826133352749515,1.60646802680443,1.83711806581843
Sample_60,0.380689676892668,0.779756918554457,0.827367280135137
Sample_61,0.909356829331064,1.63288736396281,2.19438086945612
Sample_62,0.546791868845112,1.51293954539257,2.08755775687702
Sample_63,1.01391665336275,1.9032237098926,2.7574787653382
Sample_64,0.834185152632933,1.80410078157876,1.97044202478596
Sample_65,0.640749421230474,1.03980996130676,1.35897078679754
Sample_66,0.515614918003945,1.39230649561638,1.81540678197309
Sample_67,0.481846632409908,0.891914583527715,1.47861918381916
Sample_68,0.863214913162083,1.75762666188827,1.87868817758829
Sample_69,0.434581062163814,1.25790484853863,2.09990576567481
Sample_70,0.585387514974181,1.42755834777705,2.07805924964208
Sample_71,0.778470059477699,1.02174850882366,1.48946452280909
Sample_72,0.351360924584269,0.550244747260019,0.550711229714533
Sample_73,0.927716994441822,1.25298732641475,2.2415784209024
Sample_74,0.459925799111848,0.713158070081533,1.66418254060801
Sample_75,0.662171252807177,1.06496241162077,1.38187341767722
Sample_76,0.810955346506155,1.12986713740159,1.60825921319164
Sample_77,0.745419075517448,1.15745000822948,2.1442683989057
Sample_78,0.93040721381054,1.48446465710234,1.67469830350264
Sample_79,0.683759609707902,1.33746539185732,2.20453028705177
Sample_80,0.678539844732806,1.48375353299722,1.83220259750185
Sample_81,0.581557389219184,0.804517921038283,1.02080695951269
Sample_82,0.600991306779541,1.0527878162446,1.29380861154597
Sample_83,0.621164949134129,0.760016557992523,1.62422334590896
Sample_84,0.585735165235852,0.940768626479304,1.14783824814101
Sample_85,0.645522417151771,0.943327134237201,1.3902401169259
Sample_86,0.630662167022145,1.09888341428307,1.61952000652553
Sample_87,0.413939729071934,1.26990584458905,2.06248738524181
Sample_88,0.548339674113341,0.79077972918556,1.3308440606981
Sample_89,0.44219420348859,0.623439009186259,0.797517040426057
Sample_90,0.619398326428577,0.685609291029066,1.15490885841033
Sample_91,0.575165199549788,0.947485502691044,1.30313058819745
Sample_92,0.755111730818045,1.22234985537317,2.11627199706796
Sample_93,0.807655431965843,0.815386277096731,1.48329990320294
Sample_94,0.535329551224062,1.48838347276174,1.69118317261621
Sample_95,0.382290482087725,1.32370874562706,1.83391357458908
Sample_96,0.749854168744976,1.33051692815711,2.30743533897897
Sample_97,0.796625384824038,1.20825209009882,1.8042983087265
Sample_98,0.825332642737041,1.73338913804112,2.4565913627287
Sample_99,0.579765793410913,1.18679602226914,1.37789479228287
