score,coverage,variants_used,variants_total,variants_flipped,variants_ambiguous,trait,trait_efo
PGS000083,1.0,22,22,0,0,Pancreatic cancer,EFO_0002618
PGS000084,0.8819875776397516,142,161,0,0,Prostate cancer,EFO_0001663
PGS000086,0.9230769230769231,48,52,0,0,Testicular cancer,EFO_0005088
PGS000087,0.9166666666666666,11,12,0,0,Thyroid cancer,EFO_0002892
PGS000088,0.797390636991558,7273,9121,0,0,Basophil count,EFO_0005090
PGS000089,0.8088795731707317,4245,5248,0,0,Basophil percentage of white cells,EFO_0007992
PGS000090,0.8054381454529609,18484,22949,0,0,Eosinophil count,EFO_0004842
PGS000091,0.8045152831270999,19635,24406,0,0,Eosinophil percentage of white cells,EFO_0007991
PGS000092,0.8013752037995322,22610,28214,0,0,Hematocrit,EFO_0004348
PGS000093,0.7989637305699482,20046,25090,0,0,Hemoglobin concentration,EFO_0004509
PGS000094,0.7982191189738359,20349,25493,0,0,High light scatter reticulocyte count,EFO_0007986
PGS000095,0.7998360431752972,17562,21957,0,0,High light scatter reticulocyte percentage of red cells,EFO_0007986
PGS000096,0.8037535014005602,14347,17850,0,0,Immature fraction of reticulocytes,EFO_0007986
PGS000097,0.7958695122940842,19615,24646,0,0,Lymphocyte count,EFO_0004587
PGS000098,0.8005187139471448,17902,22363,0,0,Lymphocyte percentage of white cells,EFO_0007993
PGS000099,0.7986411136959491,21628,27081,0,0,Mean corpuscular hemoglobin,EFO_0004527
PGS000100,0.7981744421906694,9444,11832,0,0,Mean corpuscular hemoglobin concentration,EFO_0004528
PGS000101,0.7989280428782849,19974,25001,0,0,Mean corpuscular volume,EFO_0004526
PGS000102,0.8011504864711313,22562,28162,0,0,Monocyte count,EFO_0005091
PGS000103,0.8042288666112157,18371,22843,0,0,Monocyte percentage of white cells,EFO_0007989
PGS000104,0.7994173625946785,20581,25745,0,0,Mean platelet volume,EFO_0004584
PGS000105,0.7979383171304056,19042,23864,0,0,Neutrophil count,EFO_0004833
PGS000106,0.8038006258787247,17723,22049,0,0,Neutrophil percentage of white cells,EFO_0007990
PGS000107,0.8028825634459438,24455,30459,0,0,Plateletcrit,EFO_0007985
PGS000108,0.7993075591459896,20778,25995,0,0,Platelet distribution width,EFO_0007984
PGS000109,0.8000974403178054,21349,26683,0,0,Platelet count,EFO_0004309
PGS000110,0.7947250666896136,18471,23242,0,0,Red blood cell count,EFO_0004305
PGS000111,0.7954902787897381,20744,26077,0,0,Reticulocyte count,EFO_0007986
PGS000112,0.7985658660703959,20714,25939,0,0,Reticulocyte fraction of red cells,EFO_0007986
PGS000113,0.7952647711658387,22572,28383,0,0,White blood cell count,EFO_0004308
PGS000114,0.9230769230769231,24,26,0,0,Juvenile Idiopathic Arthritis,EFO_0002609
PGS000115,0.9955156950672646,222,223,0,0,low density lipoprotein cholesterol,EFO_0004611
PGS000116,0.9905187255171037,39699,40079,0,0,Coronary Artery Disease ,EFO_0001645
PGS000117,0.9924260227890768,295606,297862,0,0,Cardiovascular Disease ,EFO_0000319
PGS000118,0.7241379310344828,21,29,0,0,Melanoma,EFO_0000756
PGS000119,0.8125,26,32,0,0,Basal cell carcinoma,EFO_0004193
PGS000120,0.8,8,10,0,0,Squamous cell carcinoma,EFO_0000707
PGS000123,1.0,16,16,0,0,Parkinson disease,MONDO_0005180
PGS000124,1.0,103,103,0,0,Intraocular pressure ,EFO_0004695
PGS000125,1.0,80,80,0,0,Type 2 Diabetes,MONDO_0005148
PGS000126,1.0,114,114,0,0,Serum urate,EFO_0004531
PGS000133,1.0,604645,604645,0,0,Schizophrenia,MONDO_0005090
PGS000134,0.9999084986678128,830513,830589,0,0,Schizophrenia,MONDO_0005090
PGS000135,0.9998622021535541,972305,972439,0,0,Schizophrenia,MONDO_0005090
PGS000136,0.9998704262257319,833394,833502,0,0,Schizophrenia,MONDO_0005090
PGS000137,1.0,2673,2673,0,0,Glaucoma,MONDO_0005041
PGS000138,1.0,22274,22274,0,0,Lifetime Major Depressive Disorder,MONDO_0002009
PGS000139,1.0,21980,21980,0,0,Lifetime Major Depressive Disorder (with recurrence),MONDO_0002009
PGS000140,1.0,24665,24665,0,0,Broad Depression (seen a General Practitioner for nerves  anxiety  tension or depression),EFO_0009820
PGS000141,1.0,22728,22728,0,0,Seen a psychiatrist for nerves  anxiety  tension or depression,EFO_0009821
PGS000142,1.0,21908,21908,0,0,Probable Depression (low mood or anhedonia  and seen a GP or psychiatrist for nerves  anxiety  tension or depression),EFO_0009820
PGS000143,1.0,21042,21042,0,0,Seen a General Practitioner for nerves  anxiety  tension or depression (without report of low mood or anhedonia),EFO_0009820
PGS000144,1.0,21828,21828,0,0,Self-reported depression or depression symptoms,EFO_0009799
PGS000145,1.0,21510,21510,0,0,Depression (ICD-10 defined),MONDO_0002009
PGS000146,1.0,27,27,0,0,Colorectal cancer risk,EFO_0005842
PGS000147,0.7619047619047619,16,21,0,0,Colorectal cancer,EFO_0005842
PGS000148,0.9682539682539683,61,63,0,0,Colorectal cancer,EFO_0005842
PGS000149,0.7804878048780488,32,41,0,0,Colorectal cancer,EFO_0005842
PGS000150,0.9375,45,48,0,0,Colorectal cancer,EFO_0005842
PGS000151,1.0,14,14,0,0,Colorectal cancer,EFO_0005842
PGS000152,0.9,9,10,0,0,Bladder cancer,MONDO_0004986
PGS000153,0.7424242424242424,49,66,0,0,Breast cancer,EFO_0000305
PGS000154,0.8,24,30,0,0,Colorectal cancer,EFO_0005842
PGS000155,0.7894736842105263,15,19,0,0,Glioma,EFO_0005543
PGS000156,1.0,6,6,0,0,Lung cancer,EFO_0001071
PGS000157,0.7647058823529411,13,17,0,0,Melanoma,EFO_0000756
PGS000158,0.9,9,10,0,0,Ovarian cancer,EFO_0001075
PGS000159,0.6666666666666666,6,9,0,0,Pancreatic cancer,EFO_0002618
PGS000160,0.7721518987341772,61,79,0,0,Prostate cancer,EFO_0001663
PGS000161,0.7,7,10,0,0,Renal cancer,EFO_0002890
PGS000162,0.6666666666666666,4,6,0,0,Thyroid cancer,EFO_0002892
PGS000163,0.7567567567567568,140,185,0,0,Basophil count,EFO_0005090
PGS000164,0.7533333333333333,113,150,0,0,Basophil percentage of white cells,EFO_0007992
PGS000165,0.7742998352553542,470,607,0,0,Eosinophil count,EFO_0004842
PGS000166,0.7653239929947461,437,571,0,0,Eosinophil percentage of white cells,EFO_0007991
PGS000167,0.7589641434262948,381,502,0,0,Hematocrit,EFO_0004348
PGS000168,0.7805825242718447,402,515,0,0,Hemoglobin concentration,EFO_0004509
PGS000169,0.7298245614035088,416,570,0,0,High light scatter reticulocyte count,EFO_0007986
PGS000170,0.7067137809187279,400,566,0,0,High light scatter reticulocyte percentage of red cells,EFO_0007986
PGS000171,0.7473118279569892,278,372,0,0,Immature fraction of reticulocytes,EFO_0007986
PGS000172,0.7407407407407407,460,621,0,0,Lymphocyte count,EFO_0004587
PGS000173,0.7436440677966102,351,472,0,0,Lymphocyte percentage of white cells,EFO_0007993
PGS000174,0.7245222929936306,455,628,0,0,Mean corpuscular hemoglobin,EFO_0004527
PGS000175,0.7098214285714286,159,224,0,0,Mean corpuscular hemoglobin concentration,EFO_0004528
PGS000176,0.7284671532846715,499,685,0,0,Mean corpuscular volume,EFO_0004526
PGS000177,0.7633228840125392,487,638,0,0,Monocyte count,EFO_0005091
PGS000178,0.7632058287795993,419,549,0,0,Monocyte percentage of white cells,EFO_0007989
PGS000179,0.7370030581039755,482,654,0,0,Mean platelet volume,EFO_0004584
PGS000180,0.7440381558028617,468,629,0,0,Mean reticulocyte volume,EFO_0010701
PGS000181,0.7555847568988173,575,761,0,0,Mean sphered corpuscular volume,EFO_0004526
PGS000182,0.7459349593495935,367,492,0,0,Neutrophil count,EFO_0004833
PGS000183,0.7391304347826086,323,437,0,0,Neutrophil percentage of white cells,EFO_0007990
PGS000184,0.7414285714285714,519,700,0,0,Plateletcrit,EFO_0007985
PGS000185,0.7531531531531531,418,555,0,0,Platelet distribution width,EFO_0007984
PGS000186,0.7456021650879567,551,739,0,0,Platelet count,EFO_0004309
PGS000187,0.7345132743362832,498,678,0,0,Red blood cell count,EFO_0004305
PGS000188,0.7362637362637363,402,546,0,0,Red cell distribution width,EFO_0005192
PGS000189,0.7405405405405405,411,555,0,0,Reticulocyte count,EFO_0007986
PGS000190,0.7132216014897579,383,537,0,0,Reticulocyte fraction of red cells,EFO_0007986
PGS000191,0.7484276729559748,476,636,0,0,White blood cell count,EFO_0004308
PGS000193,0.9964850615114236,1134,1138,0,0,Major depression,MONDO_0002009
PGS000194,0.78,195,250,0,0,Rheumatoid Arthritis (CCP-positive),EFO_0009459
PGS000195,0.78,195,250,0,0,Rheumatoid Arthritis (CCP-negative),EFO_0009460
PGS000196,0.78,195,250,0,0,Systemic lupus eythematosus,MONDO_0007915
PGS000197,0.78,195,250,0,0,Spondyloarthroparthy,EFO_0000706
PGS000198,0.78,195,250,0,0,Psoriatic arthritis,EFO_0003778
PGS000199,0.78,195,250,0,0,Gout,EFO_0004274
PGS000200,0.8571428571428571,24,28,0,0,Coronary heart disease,EFO_0001645
PGS000201,0.9998045579996968,1094740,1094954,0,0,Problematic Alcohol Use,EFO_0007835
PGS000202,0.999807941259573,1082794,1083002,0,0,Problematic Alcohol Use,EFO_0007835
PGS000203,0.999996399348282,1110906,1110910,0,0,Alcohol consumption (drinks per week),EFO_0007878
PGS000204,0.9999963619165424,1099476,1099480,0,0,Alcohol consumption (drinks per week),EFO_0007878
PGS000205,1.0,1110737,1110737,0,0,Risk-taking tendency (4-domain principal component model),EFO_0008579
PGS000206,1.0,1098765,1098765,0,0,Risk-taking tendency (4-domain principal component model),EFO_0008579
PGS000207,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000208,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000209,1.0,10,10,0,0,Thyroid cancer,EFO_0002892
PGS000210,0.996415770609319,278,279,0,0,Lung function (FEV1/FVC),EFO_0004713
PGS000211,0.7368421052631579,14,19,0,0,Parkinson's disease,MONDO_0005180
PGS000212,0.7696969696969697,254,330,0,0,Breast cancer intrinsic-like subtype (luminal A-like),MONDO_0021116
PGS000213,0.7696969696969697,254,330,0,0,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),EFO_0009780
PGS000214,0.7696969696969697,254,330,0,0,Breast cancer intrinsic-like subtype (luminal B-like),MONDO_0021115
PGS000215,0.7696969696969697,254,330,0,0,Breast cancer intrinsic-like subtype (HER2-enriched-like),EFO_1000294
PGS000216,0.7696969696969697,254,330,0,0,Breast cancer intrinsic-like subtype (triple negative),EFO_0005537
PGS000217,0.7053421070739189,389528,552254,0,0,Adrenomedullin (ADM) serum levels,EFO_0007937
PGS000218,0.7056605345567366,389610,552121,0,0,Agouti-related protein (AGRP) serum levels,EFO_0007937
PGS000219,0.7093508890088639,392852,553819,0,0,Ovarian cancer-related tumor marker CA 125 (CA-125) serum levels,EFO_0007937
PGS000220,0.7056589895813141,389516,551989,0,0,C-C motif chemokine 20 (CCL20) serum levels,EFO_0007937
PGS000221,0.7048540138717146,389324,552347,0,0,C-C motif chemokine 3 (CCL3) serum levels,EFO_0007937
PGS000222,0.7051233760824608,389379,552214,0,0,C-C motif chemokine 4 (CCL4) serum levels,EFO_0007937
PGS000223,0.7056395749990493,389645,552187,0,0,Tumor necrosis factor receptor superfamily member 5 (CD40) serum levels,EFO_0007937
PGS000224,0.7035116445030484,388413,552106,0,0,Chitinase-3-like protein 1 (CHI3L1) serum levels,EFO_0007937
PGS000225,0.7054837068039691,389542,552163,0,0,Macrophage colony-stimulating factor 1 (CSF-1) serum levels,EFO_0007937
PGS000226,0.702921975026938,388150,552195,0,0,Cystatin-B (CSTB) serum levels,EFO_0007937
PGS000227,0.7032006723005647,388261,552134,0,0,Cathepsin D (CTSD) serum levels,EFO_0007937
PGS000228,0.7055864687257736,389543,552084,0,0,Cathepsin L1 (CTSL1) serum levels,EFO_0007937
PGS000229,0.7054813371623506,389619,552274,0,0,Fractalkine (CX3CL1) serum levels,EFO_0007937
PGS000230,0.7039334774751282,388736,552234,0,0,C-X-C motif chemokine 1 (CXCL1) serum levels,EFO_0007937
PGS000231,0.7028543697407472,388145,552241,0,0,C-X-C motif chemokine 16 (CXCL16) serum levels,EFO_0007937
PGS000232,0.7053151735043772,389377,552061,0,0,C-X-C motif chemokine 6 (CXCL6) serum levels,EFO_0007937
PGS000233,0.7052966397194543,389371,552067,0,0,Dickkopf-related protein 1 (Dkk-1) serum levels,EFO_0007937
PGS000234,0.7118793011792871,393702,553046,0,0,Eosinophil cationic protein (ECP) serum levels,EFO_0007937
PGS000235,0.7115569913389002,393607,553163,0,0,Epidermal growth factor (EGF) serum levels,EFO_0007937
PGS000236,0.7107439809124431,393212,553240,0,0,Endothelial cell-specific molecule 1 (ESM-1) serum levels,EFO_0007937
PGS000237,0.7035881689457457,388622,552343,0,0,Fatty acid-binding protein  adipocyte (FABP4) serum levels,EFO_0007937
PGS000238,0.7031747037576833,388388,552335,0,0,Tumor necrosis factor receptor superfamily member 6 (FAS) serum levels,EFO_0007937
PGS000239,0.7052418040210107,389364,552100,0,0,Fibroblast growth factor 23 (FGF-23) serum levels,EFO_0007937
PGS000240,0.7028098047951781,388048,552138,0,0,Follistatin (FS) serum levels,EFO_0007937
PGS000241,0.711833481468635,394034,553548,0,0,Galanin peptides (GAL) serum levels,EFO_0007937
PGS000242,0.7039121318456876,388758,552282,0,0,Galectin-3 (Gal-3) serum levels,EFO_0007937
PGS000243,0.7028872132524971,388154,552228,0,0,Growth/differentiation factor 15 (GDF-15) serum levels,EFO_0007937
PGS000244,0.7055244496917984,389616,552236,0,0,Growth hormone (GH) serum levels,EFO_0007937
PGS000245,0.7060556992472488,389819,552108,0,0,Proheparin-binding EGF-like growth factor (HB-EGF) serum levels,EFO_0007937
PGS000246,0.7056297364264704,389581,552104,0,0,Hepatocyte growth factor (HGF) serum levels,EFO_0007937
PGS000247,0.7111375011523049,393429,553239,0,0,Kallikrein-11 (hK11) serum levels,EFO_0007937
PGS000248,0.7053758339188573,389517,552212,0,0,Heat shock 27 kDa protein (HSP_27) serum levels,EFO_0007937
PGS000249,0.7055503037020134,389595,552186,0,0,Interleukin-18 (IL-18) serum levels,EFO_0007937
PGS000250,0.7051531299090261,389186,551917,0,0,Interleukin-1 receptor antagonist protein (IL-1ra) serum levels,EFO_0007937
PGS000251,0.705236709865115,389309,552026,0,0,Interleukin-27 (IL-27) serum levels,EFO_0007937
PGS000252,0.7041214569915246,388975,552426,0,0,Interleukin-6 (IL-6) serum levels,EFO_0007937
PGS000253,0.7033137003470185,388322,552132,0,0,Interleukin-6 receptor subunit alpha (IL-6RA) serum levels,EFO_0007937
PGS000254,0.7052645881265965,389299,551990,0,0,Interleukin-8 (IL-8) serum levels,EFO_0007937
PGS000255,0.7051626791137268,389168,551884,0,0,Pro-interleukin-16 (IL16) serum levels,EFO_0007937
PGS000256,0.699317370927713,386319,552423,0,0,Melusin (ITGB1BP2) serum levels,EFO_0007937
PGS000257,0.7045766598679134,388970,552062,0,0,Kidney injury molecule 1 (KIM-1) serum levels,EFO_0007937
PGS000258,0.7034560087527828,388345,552053,0,0,Kallikrein-6 (KLK6) serum levels,EFO_0007937
PGS000259,0.7046856604662114,389064,552110,0,0,Leptin (LEP) serum levels,EFO_0007937
PGS000260,0.7052685922343287,389340,552045,0,0,Lectin-like oxidized LDL receptor 1 (LOX-1) serum levels,EFO_0007937
PGS000261,0.7117507729582151,393648,553070,0,0,Membrane-bound aminopeptidase P (mAmP) serum levels,EFO_0007937
PGS000262,0.7029525273873493,388150,552171,0,0,Myoglobin (MB) serum levels,EFO_0007937
PGS000263,0.7025615942028985,387814,552000,0,0,Monocyte chemotactic protein 1 (MCP-1) serum levels,EFO_0007937
PGS000264,0.7052974374950192,389406,552116,0,0,Matrix metalloproteinase-1 (MMP-1) serum levels,EFO_0007937
PGS000265,0.7054840672955701,389478,552072,0,0,Matrix metalloproteinase-10 (MMP-10) serum levels,EFO_0007937
PGS000266,0.7048844156291155,389111,552021,0,0,Matrix metalloproteinase-12 (MMP-12) serum levels,EFO_0007937
PGS000267,0.7014944018771455,387455,552328,0,0,Matrix metalloproteinase-3 (MMP-3) serum levels,EFO_0007937
PGS000268,0.7051853810872889,389299,552052,0,0,Matrix metalloproteinase-7 (MMP-7) serum levels,EFO_0007937
PGS000269,0.7037343511782109,388657,552278,0,0,Myeloperoxidase (MPO) serum levels,EFO_0007937
PGS000270,0.709548360784427,393187,554137,0,0,N-terminal prohormone brain natriuretic peptide (NT-pro_BNP) serum levels,EFO_0007937
PGS000271,0.7037549460798073,388617,552205,0,0,Osteoprotegerin (OPG) serum levels,EFO_0007937
PGS000272,0.7035857453765901,388589,552298,0,0,Pappalysin-1 (PAPPA) serum levels,EFO_0007937
PGS000273,0.7060495977921123,389882,552202,0,0,Proteinase-activated receptor 1 (PAR-1) serum levels,EFO_0007937
PGS000274,0.7052610612658778,389491,552265,0,0,Platelet-derived growth factor subunit B (PDGF_subunit_B) serum levels,EFO_0007937
PGS000275,0.7033477654390319,388255,552010,0,0,Platelet endothelial cell adhesion molecule (PECAM-1) serum levels,EFO_0007937
PGS000276,0.7051142999411525,389417,552275,0,0,Placenta growth factor (PlGF) serum levels,EFO_0007937
PGS000277,0.703494426484837,388445,552165,0,0,P-selectin glycoprotein ligand 1 (PSGL-1) serum levels,EFO_0007937
PGS000278,0.703814116139402,388839,552474,0,0,Pentraxin-related protein PTX3 (PTX3) serum levels,EFO_0007937
PGS000279,0.7053945514921293,389588,552298,0,0,Receptor for advanced glycosylation end products (RAGE) serum levels,EFO_0007937
PGS000280,0.7052083220124693,389330,552078,0,0,Renin (REN) serum levels,EFO_0007937
PGS000281,0.7024811504306144,387771,552002,0,0,Resistin (RETN) serum levels,EFO_0007937
PGS000282,0.7048930161833388,389397,552420,0,0,Stem cell factor (SCF) serum levels,EFO_0007937
PGS000283,0.7030086683082958,388555,552703,0,0,Spondin-1 (SPON1) serum levels,EFO_0007937
PGS000284,0.7038184367561222,388512,552006,0,0,ST2 protein (ST2) serum levels,EFO_0007937
PGS000285,0.7053825593776484,389532,552228,0,0,Tissue factor (TF) serum levels,EFO_0007937
PGS000286,0.7057733851706048,389757,552241,0,0,Thrombomodulin (TM) serum levels,EFO_0007937
PGS000287,0.7026164322300418,388067,552317,0,0,Tumor necrosis factor receptor 1 (TNF-R1) serum levels,EFO_0007937
PGS000288,0.7025326656826969,387928,552185,0,0,Tumor necrosis factor receptor 2 (TNF-R2) serum levels,EFO_0007937
PGS000289,0.7043499840593571,388835,552048,0,0,Tumor necrosis factor ligand superfamily member 14 (TNFSF14) serum levels,EFO_0007937
PGS000290,0.7071769884424358,390559,552279,0,0,TNF-related apoptosis-inducing ligand (TRAIL) serum levels,EFO_0007937
PGS000291,0.7055313492624022,389593,552198,0,0,TNF-related apoptosis-inducing ligand receptor 2 (TRAIL-R2) serum levels,EFO_0007937
PGS000292,0.7055208389936424,389511,552090,0,0,TNF-related activation-induced cytokine (TRANCE) serum levels,EFO_0007937
PGS000293,0.7034442657160247,388335,552048,0,0,Urokinase plasminogen activator surface receptor (U-PAR) serum levels,EFO_0007937
PGS000294,0.7059448982918832,389731,552070,0,0,Vascular endothelial growth factor A (VEGF-A) serum levels,EFO_0007937
PGS000295,0.7041936565169731,388648,551905,0,0,Vascular endothelial growth factor D (VEGF-D) serum levels,EFO_0007937
PGS000296,0.9445380572083588,6262429,6630150,0,0,Coronary artery disease,EFO_0001645
PGS000297,1.0,3290,3290,0,0,Height,EFO_0004339
PGS000298,1.0,941,941,0,0,Body mass index ,EFO_0004340
PGS000299,1.0,462,462,0,0,Waist-to-hip ratio (body mass index adjusted),EFO_0007788
PGS000300,1.0,80,80,0,0,Heart rate,EFO_0004351
PGS000301,1.0,970,970,0,0,Systolic blood pressure,EFO_0006335
PGS000302,1.0,962,962,0,0,Diastolic blood pressure,EFO_0006336
PGS000303,1.0,253,253,0,0,Estimated glomerular filtration rate,EFO_0005208
PGS000304,1.0,43,43,0,0,HbA1c,EFO_0004541
PGS000305,1.0,31,31,0,0,Fasting glucose,EFO_0004465
PGS000306,1.0,19,19,0,0,Fasting glucose (body mass index adjusted),EFO_0008036
PGS000307,1.0,12,12,0,0,Fasting insulin,EFO_0004466
PGS000308,1.0,12,12,0,0,Fasting insulin (body mass index adjusted),EFO_0008037
PGS000309,0.9838056680161943,243,247,0,0,High-density lipoprotein,EFO_0004612
PGS000310,0.9742268041237113,189,194,0,0,Low-density lipoprotein ,EFO_0004611
PGS000311,0.9829059829059829,230,234,0,0,Total cholesterol,EFO_0004574
PGS000312,0.9894736842105263,188,190,0,0,Triglycerides,EFO_0004530
PGS000313,0.9795918367346939,48,49,0,0,Lipoprotein(a),EFO_0006925
PGS000314,1.0,77,77,0,0,C-reactive protein,EFO_0004458
PGS000315,1.0,7,7,0,0,Immunoglobulin E (IgE),EFO_0004579
PGS000318,0.9090247452692868,3747,4122,0,0,All-cause mortality (female),EFO_0005056
PGS000319,0.9081133919843597,3716,4092,0,0,All-cause mortality (male),EFO_0005056
PGS000320,0.7855295099377939,207097,263640,0,0,Body mass index,EFO_0004340
PGS000321,0.9407022817324772,6885,7319,0,0,Serum testosterone levels,EFO_0004908
PGS000322,0.9621930803571429,6897,7168,0,0,Serum testosterone levels in females,EFO_0004908
PGS000323,0.9073466909532484,7472,8235,0,0,Serum testosterone levels in males,EFO_0004908
PGS000324,0.9492753623188406,131,138,0,0,Enthesitis-related Juvenile Idiophatic Arthritis,EFO_0009732
PGS000325,0.8571428571428571,18,21,0,0,Oligoarthritis Juvenile Idiophatic Arthritis,EFO_1002019
